,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
0,Nikola Jokic,DEN,10.6,17.5,6.3,7.4,2.1,29.6,12.2,10.9,1.4,0.8,3.5
1,Shai Gilgeous-Alexander,OKC,10.8,19.7,8.2,9.2,2.0,31.6,4.4,6.3,1.4,0.8,2.0
2,Kawhi Leonard,LAC,9.7,19.6,5.9,6.2,2.9,28.2,6.2,3.5,2.2,0.6,2.1
3,Tyrese Maxey,PHI,10.6,22.3,5.5,6.3,3.7,30.3,4.4,6.7,1.9,1.0,2.5
4,Victor Wembanyama,SA,8.4,16.2,5.6,6.7,1.6,23.9,10.9,3.0,0.8,2.7,2.9
5,Stephen Curry,GS,9.2,19.6,5.0,5.4,4.6,28.1,3.8,4.9,1.2,0.5,2.8
6,Luka Doncic,LAL,10.5,22.5,9.1,11.7,3.4,33.6,7.7,8.7,1.6,0.5,4.5
7,Donovan Mitchell,CLE,10.2,20.8,5.0,5.9,3.9,29.2,4.8,5.7,1.5,0.3,3.1
8,Cade Cunningham,DET,9.1,19.8,6.1,7.4,2.0,26.2,6.1,9.8,1.5,0.8,4.0
9,Kevin Durant,HOU,9.3,17.9,5.5,6.2,2.2,26.3,5.4,4.5,0.8,1.0,3.0
10,James Harden,LAC,7.4,17.6,7.7,8.6,3.2,25.8,4.7,8.1,1.3,0.3,3.6
11,Jalen Johnson,ATL,8.6,16.6,4.3,5.4,1.6,23.1,10.1,8.1,1.3,0.5,3.5
12,Giannis Antetokounmpo,MIL,10.9,16.9,6.4,9.8,0.6,28.8,9.5,5.5,0.9,0.8,3.3
13,Austin Reaves,LAL,8.2,16.2,7.5,8.6,2.7,26.6,5.2,6.3,1.0,0.2,3.3
14,Jamal Murray,DEN,9.2,19.0,4.0,4.5,3.4,25.8,4.5,7.4,1.0,0.3,2.3
15,Walker Kessler,UTA,5.2,7.4,2.8,4.0,1.2,14.4,10.8,3.0,1.4,1.8,3.2
16,Lauri Markkanen,UTA,9.5,19.7,6.0,6.8,2.9,27.9,7.2,2.2,1.0,0.5,1.6
17,Trey Murphy III,NO,7.8,15.7,3.4,3.8,3.2,22.2,6.2,3.6,1.6,0.3,1.9
18,Scottie Barnes,TOR,7.6,15.1,3.3,4.0,1.1,19.5,8.2,5.5,1.3,1.4,2.6
