,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
0,Nikola Jokic,DEN,9.8,15.9,6.3,7.3,2.1,28.0,12.1,10.4,1.5,0.7,3.4
1,Shai Gilgeous-Alexander,OKC,10.8,19.1,8.1,9.1,2.1,31.8,5.1,6.1,1.7,0.4,2.0
2,Kawhi Leonard,LAC,9.7,19.4,6.1,6.8,2.9,28.4,6.4,3.8,2.2,1.0,1.8
3,Tyrese Maxey,PHI,10.4,22.0,6.2,7.0,3.6,30.5,4.3,7.0,1.8,0.9,2.2
4,Jalen Johnson,ATL,8.8,17.0,4.4,5.4,1.7,23.8,10.2,8.8,1.2,0.6,3.5
5,Cade Cunningham,DET,9.8,21.0,4.9,5.8,2.3,26.8,5.6,10.0,1.5,0.9,4.7
6,Stephen Curry,GS,9.8,21.0,4.8,5.2,4.8,29.3,3.9,5.0,1.0,0.4,2.8
7,Luka Doncic,LAL,10.3,22.0,8.9,11.4,3.5,33.0,7.5,8.8,1.5,0.5,4.5
8,Donovan Mitchell,CLE,9.8,19.9,5.0,5.8,3.7,28.2,5.0,5.5,1.4,0.5,3.0
9,Victor Wembanyama,SA,8.3,16.8,4.8,5.9,1.5,22.9,10.1,3.4,0.9,2.4,3.4
10,Jamal Murray,DEN,9.9,20.5,3.5,4.0,3.5,26.8,4.4,7.9,1.0,0.5,2.4
11,Kevin Durant,HOU,9.6,18.4,5.0,5.6,2.1,26.3,6.2,4.1,0.6,1.1,3.0
12,James Harden,LAC,7.0,16.2,8.3,9.3,3.3,25.6,4.4,7.6,1.1,0.2,3.4
13,Scottie Barnes,TOR,7.9,15.5,3.0,3.6,1.1,20.0,9.4,5.2,1.4,1.4,2.4
14,Austin Reaves,LAL,7.7,15.1,6.5,7.3,2.8,24.8,5.2,5.5,0.8,0.3,3.0
15,Giannis Antetokounmpo,MIL,10.5,16.9,5.9,8.8,0.7,27.5,10.3,5.9,0.7,0.9,3.0
16,Karl-Anthony Towns,NY,7.6,15.9,5.3,6.1,1.7,22.3,12.1,3.0,1.2,0.6,2.4
17,Trey Murphy III,NO,8.2,16.3,3.3,3.7,3.3,23.1,6.0,3.8,1.3,0.4,2.0
18,Derrick White,BOS,7.0,16.5,2.7,3.2,3.6,20.2,5.0,5.4,1.5,1.7,2.5
19,Anthony Edwards,MIN,10.0,20.2,4.5,5.8,3.1,27.5,5.9,4.2,1.5,0.8,3.0
20,Lauri Markkanen,UTA,9.1,18.8,5.2,5.8,3.2,26.5,6.9,2.0,0.8,0.4,1.7
21,Keyonte George,UTA,7.9,17.7,6.3,7.2,2.7,24.9,4.4,6.8,1.1,0.4,3.1
22,Chet Holmgren,OKC,6.5,12.0,3.2,4.0,1.7,17.9,9.5,2.1,0.8,1.8,2.0
23,Jaylen Brown,BOS,11.9,24.3,4.8,6.1,2.2,30.9,6.7,5.5,1.0,0.6,2.6
24,Deni Avdija,POR,7.5,16.0,7.9,9.8,2.2,25.1,7.2,6.8,1.0,0.7,3.4
25,Alperen Sengun,HOU,8.3,16.1,4.0,5.4,0.6,21.3,9.3,6.1,1.4,1.0,3.0
26,Josh Giddey,CHI,6.9,14.7,3.4,4.2,2.1,19.3,9.1,8.6,1.0,0.3,3.3
27,Jalen Brunson,NY,10.3,21.5,5.5,6.5,3.1,29.2,3.0,6.5,0.7,0.2,2.4
28,Amen Thompson,HOU,7.3,14.0,3.5,4.3,0.5,18.6,7.3,5.4,1.5,0.7,2.5
29,Alexandre Sarr,WAS,6.9,13.6,2.1,2.8,1.0,16.8,8.5,2.7,0.7,2.5,2.0
30,Jimmy Butler,GS,6.0,12.0,6.6,7.7,0.7,19.3,6.2,4.9,1.4,0.2,1.5
31,Devin Booker,PHO,9.0,19.2,5.9,6.9,2.0,25.9,4.3,5.7,1.0,0.3,3.0
32,Evan Mobley,CLE,6.4,12.0,2.8,3.8,1.1,16.7,8.7,3.4,0.9,2.0,2.0
33,Mikal Bridges,NY,6.0,12.0,1.4,1.7,2.2,15.7,4.7,4.2,1.8,0.7,1.7
34,Michael Porter Jr.,BKN,9.0,18.2,3.1,3.7,3.5,24.6,7.3,3.6,0.6,0.2,2.7
35,Anthony Davis,DAL,7.9,15.2,3.8,4.9,1.0,20.5,10.3,2.1,1.0,1.7,1.8
36,LeBron James,LAL,7.9,15.6,4.9,6.4,2.0,22.6,6.7,6.3,1.3,0.6,3.7
37,Jaren Jackson Jr.,MEM,7.0,14.7,4.4,5.5,1.5,19.9,6.3,2.0,1.0,2.0,2.1
38,Trae Young,WAS,7.1,16.7,6.2,7.1,2.6,23.0,2.8,10.3,1.0,0.2,4.3
39,Ivica Zubac,LAC,7.3,11.3,2.0,2.8,0.0,16.6,11.1,2.1,0.5,1.2,1.4
40,Onyeka Okongwu,ATL,6.4,13.2,2.5,3.2,2.1,17.4,8.2,3.6,1.0,1.1,2.0
41,Kel'el Ware,MIA,5.0,9.0,1.3,1.6,1.2,12.5,10.2,1.0,1.0,1.2,1.1
42,Julius Randle,MIN,6.9,14.1,4.9,6.2,1.6,20.2,7.9,6.3,1.2,0.2,2.8
43,De'Aaron Fox,SA,8.2,17.0,3.5,4.5,2.2,22.0,4.3,5.5,1.5,0.4,2.5
44,Cooper Flagg,DAL,7.2,15.4,4.0,5.0,1.0,19.5,6.7,4.9,1.3,0.9,2.3
45,Joel Embiid,PHI,7.4,15.8,7.0,8.4,1.2,23.1,7.3,3.8,0.6,1.2,3.1
46,Jalen Williams,OKC,7.0,15.4,3.0,3.6,1.0,18.1,5.6,5.6,1.6,0.6,2.2
47,Kon Knueppel,CHA,6.3,13.0,3.1,3.6,3.6,19.3,5.0,3.5,0.7,0.2,1.6
48,Norman Powell,MIA,6.7,14.2,4.4,5.1,3.0,20.8,3.5,2.2,1.3,0.2,1.8
49,Franz Wagner,ORL,8.4,17.8,4.3,5.0,1.6,22.6,5.7,4.5,1.2,0.4,2.2
50,DeMar DeRozan,SAC,6.4,13.1,4.4,5.0,1.0,18.2,4.0,4.3,1.4,0.3,1.2
51,LaMelo Ball,CHA,7.3,17.0,3.1,3.8,2.7,20.4,5.3,8.0,1.2,0.4,3.2
52,Jalen Duren,DET,7.0,11.2,3.0,4.2,0.0,17.0,10.2,1.6,1.0,1.1,2.3
53,Nikola Vucevic,CHI,7.0,14.0,1.4,1.7,1.9,17.2,9.0,3.6,0.6,0.7,1.5
54,Coby White,CHI,6.5,14.5,4.6,5.4,3.0,20.7,3.9,4.6,1.0,0.2,2.1
55,Josh Hart,NY,4.9,9.8,1.4,1.7,1.4,12.6,8.1,4.7,1.4,0.3,2.1
56,Rudy Gobert,MIN,4.3,6.5,2.5,3.8,0.0,11.2,11.9,1.8,0.6,1.8,1.2
57,Domantas Sabonis,SAC,6.6,12.5,2.9,3.9,0.9,16.9,12.6,4.9,0.9,0.5,2.9
58,Desmond Bane,ORL,6.6,14.5,3.5,3.7,1.9,18.5,4.7,4.2,0.7,0.6,2.2
59,OG Anunoby,NY,5.8,12.8,2.7,3.3,2.0,16.3,4.2,2.1,1.8,1.0,1.9
60,Peyton Watson,DEN,5.2,10.3,1.9,2.5,2.0,14.3,5.7,2.1,1.1,1.3,1.3
61,Isaiah Hartenstein,OKC,4.3,6.8,1.9,2.5,0.0,10.5,10.4,3.3,1.0,1.0,1.5
62,Walker Kessler,UTA,4.4,6.8,2.1,3.0,0.7,11.7,10.2,1.3,0.5,2.4,1.7
63,Nickeil Alexander-Walker,ATL,6.4,14.0,2.1,2.5,3.2,18.0,3.6,3.2,1.2,0.6,1.4
64,Ajay Mitchell,OKC,5.2,10.9,2.3,2.7,1.3,14.1,4.0,3.6,1.7,0.5,1.5
65,Paolo Banchero,ORL,8.0,17.4,6.2,8.0,1.3,23.5,8.6,4.8,0.8,0.9,2.7
66,Pascal Siakam,IND,9.3,19.2,4.0,5.9,1.9,24.6,7.2,4.0,1.3,0.4,2.0
67,Andrew Wiggins,MIA,6.2,13.0,2.0,2.7,2.1,16.5,5.1,3.1,1.3,1.0,1.6
68,Jusuf Nurkic,UTA,4.9,9.5,1.3,2.0,0.6,11.7,10.1,4.4,1.5,0.6,2.4
69,Mark Williams,PHO,5.4,8.5,2.7,3.4,0.0,13.4,9.2,1.9,0.7,1.1,1.3
70,Brandon Ingram,TOR,8.3,17.6,4.1,4.8,1.7,22.4,4.7,3.7,0.7,0.5,2.5
71,Payton Pritchard,BOS,6.5,14.0,2.0,2.3,2.2,17.1,4.8,5.9,1.0,0.2,1.7
72,Brandon Miller,CHA,6.6,15.4,3.1,3.7,2.8,19.1,4.7,3.0,0.9,1.0,2.0
73,Kyrie Irving,DAL,7.4,15.6,2.9,3.2,2.4,20.0,4.0,4.0,1.0,0.3,1.9
74,Zach Edey,MEM,5.5,8.9,1.5,2.0,0.1,12.6,10.5,1.2,0.4,1.7,2.3
75,P.J. Washington,DAL,5.3,11.3,1.9,2.7,2.0,14.5,7.0,2.1,1.0,1.5,1.7
76,Darius Garland,CLE,6.8,15.0,2.8,3.3,2.2,18.5,2.8,7.5,1.0,0.1,2.8
77,Nicolas Claxton,BKN,5.3,9.1,3.1,4.4,0.0,13.7,8.1,4.0,1.0,1.3,1.6
78,Naz Reid,MIN,5.9,12.0,1.6,2.0,2.3,15.6,6.1,2.2,0.8,1.0,1.5
79,Keegan Murray,SAC,6.0,13.5,2.1,2.5,1.4,15.6,6.5,1.7,1.2,1.1,0.9
80,Derik Queen,NO,5.4,11.0,3.5,4.5,0.2,14.4,6.8,4.9,1.0,1.2,2.1
81,Neemias Queta,BOS,5.1,7.8,1.5,2.2,0.0,11.7,8.7,1.5,0.7,1.5,1.3
82,VJ Edgecombe,PHI,6.0,14.1,1.7,2.1,2.4,16.2,5.1,4.0,1.5,0.5,1.5
83,Jrue Holiday,POR,4.9,10.9,1.1,1.2,2.1,12.9,5.1,5.1,1.1,0.7,1.7
84,Myles Turner,MIL,4.6,10.5,1.4,1.8,2.3,12.8,6.4,1.5,0.7,2.0,1.6
85,Andrew Nembhard,IND,5.9,13.5,3.7,4.5,1.9,17.5,3.2,7.4,1.2,0.2,1.9
86,Immanuel Quickley,TOR,6.4,14.6,2.0,2.5,2.9,17.8,4.2,6.4,1.0,0.1,2.0
87,Miles Bridges,CHA,7.1,15.5,2.6,3.1,2.3,19.1,6.4,3.2,0.5,0.8,1.8
88,Paul George,PHI,5.6,13.0,2.4,2.8,2.5,16.2,4.3,3.3,1.2,0.7,1.8
89,Tyler Herro,MIA,7.9,17.1,3.1,3.6,2.3,21.2,4.8,4.0,0.8,0.2,2.4
90,Zion Williamson,NO,8.2,15.0,7.2,9.4,0.1,23.8,6.1,3.7,1.0,0.6,2.6
91,Jayson Tatum,BOS,6.7,14.5,3.9,4.7,2.4,19.6,6.1,4.0,0.8,0.4,2.0
92,Kevin Porter Jr.,MIL,5.0,12.0,3.1,3.8,1.5,14.7,5.2,6.0,1.7,0.4,3.6
93,Jabari Smith Jr.,HOU,6.0,13.1,2.2,2.7,2.4,16.6,6.7,1.5,0.9,0.8,1.2
94,Naji Marshall,DAL,6.1,11.4,3.0,3.7,1.1,16.2,5.8,3.6,1.2,0.2,1.9
95,John Collins,LAC,5.3,10.1,2.3,2.9,1.2,14.2,5.4,0.9,1.0,1.1,1.6
96,Ryan Kalkbrenner,CHA,4.0,6.1,1.0,1.4,0.0,9.1,6.9,0.8,0.8,1.7,0.8
97,Kyshawn George,WAS,6.2,13.1,1.6,2.2,2.2,16.2,4.9,4.0,1.0,0.8,1.7
98,Reed Sheppard,HOU,4.6,10.2,1.4,1.7,2.5,13.1,2.7,3.7,1.5,0.6,1.6
99,Bam Adebayo,MIA,6.6,14.4,1.6,2.0,1.0,15.8,9.8,2.9,1.0,0.7,1.9
100,Jalen Suggs,ORL,5.0,10.7,1.9,2.3,1.7,13.6,3.3,3.2,1.7,0.7,2.1
101,Collin Gillespie,PHO,4.4,10.1,1.1,1.4,3.0,12.9,4.1,5.0,1.3,0.2,1.3
102,Anthony Black,ORL,6.4,14.0,3.1,4.0,1.6,17.4,4.5,5.2,1.2,0.7,2.6
103,Santi Aldama,MEM,5.8,12.1,2.2,2.9,2.0,15.8,6.8,2.9,0.8,0.7,1.2
104,Kristaps Porzingis,ATL,5.3,10.9,3.1,3.8,1.5,15.3,5.4,1.9,0.7,1.2,1.4
105,Aaron Gordon,DEN,5.7,10.6,3.0,3.8,1.7,16.1,6.2,2.2,0.7,0.5,1.5
106,Jaden McDaniels,MIN,5.3,10.3,1.8,2.2,1.3,13.6,5.3,2.8,0.9,0.8,1.3
107,Matas Buzelis,CHI,5.3,10.8,1.9,2.4,1.6,14.0,4.8,1.6,0.9,1.4,1.9
108,Grayson Allen,PHO,4.4,10.0,1.8,2.1,2.8,13.4,3.9,2.9,1.2,0.5,1.3
109,Jay Huff,IND,3.8,7.5,0.9,1.1,1.6,10.1,4.1,1.3,0.6,1.9,0.8
110,Shaedon Sharpe,POR,7.8,17.5,2.8,3.6,2.2,20.6,4.8,3.0,1.4,0.3,2.2
111,Herbert Jones,NO,3.7,8.1,1.8,2.1,1.3,10.5,4.0,3.2,1.6,0.6,1.4
112,Donovan Clingan,POR,4.4,7.7,1.6,2.5,1.1,11.5,10.4,1.8,0.4,1.3,1.0
113,Stephon Castle,SA,5.8,12.7,4.8,6.2,1.3,17.7,4.6,6.9,1.2,0.3,2.9
114,Dyson Daniels,ATL,5.0,10.0,1.2,1.9,0.3,11.5,6.3,5.4,1.8,0.6,2.1
115,Jaylon Tyson,CLE,5.3,10.5,1.1,1.5,1.9,13.7,5.5,2.4,1.0,0.6,1.3
116,Jalen Green,PHO,7.8,18.5,3.7,4.6,2.9,22.2,5.3,3.8,0.9,0.4,2.6
117,Donte DiVincenzo,MIN,4.6,10.6,1.0,1.2,3.0,13.1,3.7,4.1,1.3,0.4,1.5
118,Royce O'Neale,PHO,4.0,8.9,0.3,0.5,2.7,11.0,5.8,3.1,1.0,0.6,1.1
119,Egor Demin,BKN,4.9,11.5,1.1,1.4,2.9,13.9,4.2,4.0,1.1,0.6,2.4
120,Wendell Carter Jr.,ORL,4.2,8.2,2.3,3.0,1.3,12.1,7.8,2.1,0.8,0.8,1.3
121,Dillon Brooks,PHO,7.0,15.5,3.5,4.2,2.2,19.8,3.6,2.0,1.1,0.2,1.1
122,Deandre Ayton,LAL,6.0,9.8,0.9,1.3,0.1,12.9,8.3,1.0,0.8,0.9,1.4
123,Quentin Grimes,PHI,5.0,11.1,1.9,2.2,1.8,13.7,3.0,3.0,1.0,0.7,1.1
124,Tobias Harris,DET,5.1,10.6,2.0,2.3,1.3,13.4,6.1,2.5,0.9,0.4,1.1
125,Sandro Mamukelashvili,TOR,4.5,8.8,1.4,1.8,1.6,12.0,6.7,2.0,1.0,0.6,0.9
126,Jarrett Allen,CLE,5.0,8.8,2.3,3.2,0.0,12.3,7.8,2.0,1.0,0.9,1.2
127,Cam Spencer,MEM,3.5,7.6,1.5,1.8,2.0,10.5,2.4,6.8,1.0,0.1,0.8
128,Ja Morant,MEM,6.5,16.0,5.1,6.0,1.0,19.0,4.2,7.4,0.8,0.3,3.5
129,Ayo Dosunmu,CHI,5.9,12.0,1.7,1.9,1.7,15.3,2.8,3.4,0.8,0.4,1.3
130,Tre Jones,CHI,3.9,7.6,1.4,1.7,0.9,10.1,3.7,6.6,1.0,0.2,1.4
131,Collin Murray-Boyles,TOR,4.1,7.7,1.4,1.9,0.4,10.0,6.4,2.6,1.1,1.1,1.6
132,Dejounte Murray,NO,6.1,14.1,2.2,2.8,1.6,16.1,4.4,5.3,1.3,0.3,2.2
133,Julian Champagnie,SA,4.0,9.5,1.3,1.6,2.7,12.0,5.2,1.1,1.1,0.6,1.2
134,Dylan Harper,SA,5.0,10.7,3.0,3.7,1.4,14.4,3.2,4.1,1.2,0.4,1.8
135,Tari Eason,HOU,4.7,9.4,1.3,1.8,1.9,12.5,5.8,1.4,1.0,0.7,1.1
136,Bobby Portis,MIL,5.6,11.4,1.2,1.5,1.2,13.6,7.7,1.6,0.8,0.5,1.1
137,Isaiah Stewart,DET,3.8,7.4,1.3,1.8,1.0,10.0,5.5,1.2,0.4,1.9,1.0
138,Devin Vassell,SA,5.1,11.7,1.6,1.8,2.5,14.3,3.8,2.6,1.0,0.3,1.2
139,T.J. McConnell,IND,4.9,9.3,0.9,1.2,0.3,10.9,2.8,5.3,1.4,0.2,1.0
140,Kelly Oubre Jr.,PHI,5.8,12.5,2.6,3.3,1.5,15.7,5.6,1.6,1.0,0.6,1.3
141,Jordan Poole,NO,5.4,13.0,2.7,3.0,2.8,16.2,2.4,3.6,0.8,0.3,2.3
142,Ryan Rollins,MIL,5.0,11.4,1.7,2.2,2.3,14.1,3.5,4.4,1.2,0.3,1.9
143,Daniel Gafford,DAL,3.7,5.6,1.5,2.0,0.0,8.9,6.1,1.2,0.5,1.3,0.9
144,Robert Williams III,POR,2.5,3.9,0.8,1.0,0.0,5.9,5.9,1.0,0.8,1.5,0.9
145,Bilal Coulibaly,WAS,3.8,9.0,2.3,3.0,1.0,10.8,5.2,2.7,1.4,1.0,1.9
146,Tim Hardaway Jr.,DEN,5.0,10.9,2.0,2.3,3.1,15.1,3.2,1.9,0.8,0.1,0.9
147,Miles McBride,NY,4.8,10.5,0.9,1.1,2.7,13.2,2.6,3.0,1.0,0.2,0.7
148,Sam Merrill,CLE,4.4,9.7,0.6,0.7,3.2,12.6,3.2,2.5,0.8,0.2,0.6
149,Draymond Green,GS,3.3,7.2,1.3,1.8,1.1,8.9,6.1,5.1,1.0,0.8,2.5
150,Cameron Johnson,DEN,5.1,11.1,2.3,2.7,2.0,14.4,4.1,2.6,0.8,0.4,1.3
151,Moussa Diabate,CHA,3.6,5.9,1.5,2.5,0.0,8.8,9.2,1.5,0.9,1.0,1.2
